Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2003-07-09,140.99581909179688,146.23059200494004,133.01492120084717,141.51070770426483,35164284
2003-07-10,143.31285095214844,144.77172166629538,141.16744899178693,143.31285095214844,10464179
2003-07-11,148.76219177246094,150.0494330750395,142.66924436912413,143.9564856717027,11740117
2003-07-14,152.70965576171875,153.82526701166364,149.53446458456006,149.53446458456006,5982324
2003-07-15,151.2078857421875,171.6321093769417,148.46177461105458,171.6321093769417,6173689
2003-07-16,151.9802703857422,153.696591844217,150.4784891095767,151.42245805504174,3759085
2003-07-17,147.7752685546875,152.75260318756287,146.44511686308823,152.32352284153038,3814181
2003-07-18,143.6560821533203,147.51780493265142,137.30569882066146,141.5965019088071,5375212
2003-07-21,141.5106964111328,145.3724196216858,139.9231069479348,145.02916057410062,3315845
2003-07-22,143.52732849121094,145.15782803149202,139.10780762000948,140.73830716029056,4627992
2003-07-23,149.92066955566406,152.75260244460304,145.71568742279518,146.31639728542032,13262249
2003-07-24,149.40576171875,151.89442215467417,148.33306099731868,150.95044028201812,4305936
2003-07-25,149.0195770263672,150.17809902809464,147.68943862485406,149.6631974507733,2832967
2003-07-28,153.4820098876953,161.33417318524502,150.26390802894707,161.33417318524502,5415867
2003-07-29,154.726318359375,156.9575274795276,153.69652852742087,154.42595699008132,5229181
2003-07-30,155.41287231445312,158.54515291227165,154.55471181154502,155.5415911520933,4632246
2003-07-31,155.1983184814453,157.60115720177464,154.16851549331682,155.92774698779925,3562717
2003-08-01,160.60472106933594,162.19232312074737,153.39617861287616,156.1852000422012,8027285
2003-08-04,169.57254028320312,170.34487958761733,158.75971145445445,161.20547440925213,9982429
2003-08-05,166.1399383544922,174.59281449159405,165.4963177458273,170.77400149908138,9651327
2003-08-06,164.42356872558594,169.48671079769537,162.92178774383422,164.33774743168945,7451054
2003-08-07,167.6845703125,168.1994718928255,164.9813697520189,166.0540704656211,3223676
2003-08-08,169.18634033203125,170.6881212336148,168.19946097735817,169.05762149254878,2530289
2003-08-11,173.5200653076172,174.89312746273524,168.19947237189427,170.0016148136753,5651311
2003-08-12,180.5999298095703,181.93008161005204,174.63571513040372,174.893165977996,8215213
2003-08-13,186.9073944091797,188.3662649126112,181.93005996115525,182.78822062134938,7839204
2003-08-14,185.8346405029297,192.57119190455853,184.504489240669,191.369772561252,6298655
2003-08-15,185.8346405029297,185.8346405029297,185.8346405029297,185.8346405029297,0
2003-08-18,186.13504028320312,189.65350419613193,184.84779930449633,187.16484354176245,3382031
2003-08-19,185.0623321533203,188.70951478217376,184.5045329890571,188.66661722683958,3080091
2003-08-20,193.0861358642578,194.33046612092915,186.4783018335793,186.56411003726845,6049174
2003-08-21,195.6177215576172,196.43297157292656,191.62727969113348,194.8024715423078,4012069
2003-08-22,196.7761993408203,199.77976100033504,193.8584458720265,195.70349874813647,4436016
2003-08-25,189.69638061523438,198.6212445525657,185.4484887709708,197.37691444993152,4827198
2003-08-26,199.4794158935547,201.66772790030723,186.22083810368795,186.22083810368795,3968069
2003-08-27,201.06700134277344,203.89893352116258,199.9513901095305,202.01097000591005,2267859
2003-08-28,195.7035369873047,202.311371310466,193.94430505266305,202.311371310466,3554363
